app,media_source,date_campaign,campaign,Cost,Clicks,Impressions,Installs
com.ankapp,Twitter,2021-06-29,IMS_p:TW_nom:Descargas_os:Android_ef:Acq_ev:Installs_plac:MAP_expid:_aud:Tech10,0.0,0,0,4
com.ankapp,Twitter,2021-06-29,p:TW_nom:Descargas Shoppers_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,34391.3878,4890,797832,16
com.ankapp,Twitter,2021-06-29,p:TW_nom:Descargas Twitter_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,63013.0034,10120,1683352,35
com.ankapp,Twitter,2021-06-29,p:TW_nom:Descargas Viajeros_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,26560.0359,3743,617190,13
com.ankapp,User_,2021-06-29,None,0.0,1,0,0
com.ankapp,User_invite,2021-06-29,ankbassadors,0.0,2,0,0
com.ankapp,User_invite,2021-06-29,ankbassadors,0.0,4452,0,1114
com.ankapp,User_invite,2021-06-29,ankbassadors⁡_click_lookback=7d⁡_web_dp=https://ank.app/⁡_adset=946e6a48-0005-47e3-93a9-4c2aa6f3ade8,0.0,3,0,0
com.ankapp,googleadwords_int,2021-06-29,p:G_nom:Eventos Android 4_os:Android_ef:Acq_obj:Apps Auto_ev:Bank Account Added_tipo:AlwaysOn,17901.1655,864,114864,100
com.ankapp,googleadwords_int,2021-06-29,p:G_nom:Eventos Android 4_os:Android_ef:Acq_obj:Apps Auto_ev:OBC_tipo:AlwaysOn,87792.2875,2895,476445,197
com.ankapp,googleadwords_int,2021-06-29,p:G_nom:RMKT OB Incompleto_os:Android_ef:RT_obj:Apps Auto_ev:Purchase_tipo:Experimento_expid:15,5095.1753,642,75444,16
com.ankapp,jampp_int,2021-06-29,RTGT OC - AR -Android,11093.6691,0,0,0
com.ankapp,jampp_int,2021-06-29,UA - AR - Android,0.0,131,133,0
com.ankapp,Facebook Ads,2021-06-30,p:FB_nom:Descargas_os:Android_ef:Acq_obj:Apps Auto_ev:Installs_tipo:AlwaysOn_expid:06,172235.28,2119,1113758,316
com.ankapp,Facebook Ads,2021-06-30,p:FB_nom:Eventos Audiencia Amplia_os:Android_ef:Acq_obj:Apps Manual_ev:OBC_tipo:AlwaysOn_expid:05,100693.3703,1339,468255,97
com.ankapp,Facebook Ads,2021-06-30,p:FB_nom:Eventos Audiencia High Intent_os:Android_ef:Acq_obj:Apps Manual_ev:OBC_tipo:AlwaysOn_expid:05,90154.371,800,334297,63
com.ankapp,Facebook Ads,2021-06-30,p:FB_nom:RMKT OB Sin transacciones_os:Mix_ef:RT_obj:Conversiones_ev:Purchase_tipo:AlwaysOn_expid:na,25349.8601,391,102746,16
com.ankapp,Landing Pages,2021-06-30,Footer Landings,0.0,46,0,12
com.ankapp,Organic,2021-06-30,organic,0.0,0,0,275
com.ankapp,Twitter,2021-06-30,IMS_p:TW_nom:Descargas_os:Android_ef:Acq_ev:Installs_plac:MAP_expid:_aud:Demographic10,0.0,0,0,1
com.ankapp,Twitter,2021-06-30,p:TW_nom:Descargas Shoppers_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,34506.7701,4365,719352,16
com.ankapp,Twitter,2021-06-30,p:TW_nom:Descargas Twitter_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,61755.5058,9823,1679230,33
com.ankapp,Twitter,2021-06-30,p:TW_nom:Descargas Viajeros_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,26479.1565,3511,600776,18
com.ankapp,User_invite,2021-06-30,ankbassadors,0.0,4,0,0
com.ankapp,User_invite,2021-06-30,ankbassadors,0.0,3047,0,597
com.ankapp,googleadwords_int,2021-06-30,p:G_nom:Eventos Android 4_os:Android_ef:Acq_obj:Apps Auto_ev:Bank Account Added_tipo:AlwaysOn,21427.5399,798,137119,60
com.ankapp,googleadwords_int,2021-06-30,p:G_nom:Eventos Android 4_os:Android_ef:Acq_obj:Apps Auto_ev:OBC_tipo:AlwaysOn,117648.5039,3505,660795,208
com.ankapp,googleadwords_int,2021-06-30,p:G_nom:RMKT OB Incompleto_os:Android_ef:RT_obj:Apps Auto_ev:Purchase_tipo:Experimento_expid:15,6254.8491,716,82648,11
com.ankapp,invalid_media_source_name,2021-06-30,ankbassadors,0.0,1,0,0
com.ankapp,jampp_int,2021-06-30,RTGT - AR -Android,0.0,0,0,2
com.ankapp,jampp_int,2021-06-30,RTGT OC - AR -Android,11962.0284,0,0,0
com.ankapp,jampp_int,2021-06-30,UA - AR - Android,0.0,112,1,0
com.ankapp,Facebook Ads,2021-07-01,p:FB_nom:Descargas_os:Android_ef:Acq_obj:Apps Auto_ev:Installs_tipo:AlwaysOn_expid:06,169471.62,2582,1312587,318
com.ankapp,Facebook Ads,2021-07-01,p:FB_nom:Eventos Audiencia Amplia_os:Android_ef:Acq_obj:Apps Manual_ev:OBC_tipo:AlwaysOn_expid:05,98294.468,1678,562120,116
com.ankapp,Facebook Ads,2021-07-01,p:FB_nom:Eventos Audiencia High Intent_os:Android_ef:Acq_obj:Apps Manual_ev:OBC_tipo:AlwaysOn_expid:05,89351.3803,895,362102,57
com.ankapp,Facebook Ads,2021-07-01,p:FB_nom:RMKT OB Sin transacciones_os:Mix_ef:RT_obj:Conversiones_ev:Purchase_tipo:AlwaysOn_expid:na,25255.7499,462,120334,16
com.ankapp,Landing Pages,2021-07-01,Footer Landings,0.0,24,0,5
com.ankapp,Organic,2021-07-01,organic,0.0,0,0,243
com.ankapp,Twitter,2021-07-01,IMS_p:TW_nom:Descargas_os:Android_ef:Acq_ev:Installs_plac:MAP_expid:_aud:Millenials10,0.0,0,0,1
com.ankapp,Twitter,2021-07-01,p:TW_nom:Descargas Shoppers_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,0.0,0,0,10
com.ankapp,Twitter,2021-07-01,p:TW_nom:Descargas Twitter_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,0.0,0,0,5
com.ankapp,Twitter,2021-07-01,p:TW_nom:Descargas Viajeros_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,0.0,0,0,3
com.ankapp,User_,2021-07-01,None,0.0,1,0,0
com.ankapp,User_invite,2021-07-01,ankbassadors,0.0,6,0,1
com.ankapp,User_invite,2021-07-01,ankbassadors,0.0,2582,0,384
com.ankapp,User_invite,2021-07-01,ankbassadors⁡_click_lookback=7d⁡_web_dp=https://ank.app/⁡_adset=80929b97-af77-4d4c-93f3-53587d61741a,0.0,8,0,0
com.ankapp,User_invite,2021-07-01,ankbassadors⁡_click_lookback=7d⁡_web_dp=https://ank.app/⁡_adset=b3032fb9-a541-4153-a0e3-7dc5d59abd69,0.0,1,0,0
com.ankapp,googleadwords_int,2021-07-01,p:G_nom:Eventos Android 4_os:Android_ef:Acq_obj:Apps Auto_ev:Bank Account Added_tipo:AlwaysOn,9212.8078,354,60950,49
com.ankapp,googleadwords_int,2021-07-01,p:G_nom:Eventos Android 4_os:Android_ef:Acq_obj:Apps Auto_ev:OBC_tipo:AlwaysOn,103023.8,3415,654172,246
com.ankapp,googleadwords_int,2021-07-01,p:G_nom:RMKT OB Incompleto_os:Android_ef:RT_obj:Apps Auto_ev:Purchase_tipo:Experimento_expid:15,6293.5098,764,93021,6
com.ankapp,jampp_int,2021-07-01,RTGT OC - AR -Android,17564.0551,0,0,1
com.ankapp,jampp_int,2021-07-01,UA - AR - Android,0.0,126,0,0
com.ankapp,Facebook Ads,2021-07-02,p:FB_nom:Descargas_os:Android_ef:Acq_obj:Apps Auto_ev:Installs_tipo:AlwaysOn_expid:06,164765.55,2334,1254603,249
com.ankapp,Facebook Ads,2021-07-02,p:FB_nom:Eventos Audiencia Amplia_os:Android_ef:Acq_obj:Apps Manual_ev:OBC_tipo:AlwaysOn_expid:05,99188.5117,1684,586052,105
com.ankapp,Facebook Ads,2021-07-02,p:FB_nom:Eventos Audiencia High Intent_os:Android_ef:Acq_obj:Apps Manual_ev:OBC_tipo:AlwaysOn_expid:05,87927.1695,844,356323,54
com.ankapp,Facebook Ads,2021-07-02,p:FB_nom:RMKT OB Sin transacciones_os:Mix_ef:RT_obj:Conversiones_ev:Purchase_tipo:AlwaysOn_expid:na,24753.12,412,122706,19
com.ankapp,Landing Pages,2021-07-02,Footer Landings,0.0,32,0,11
com.ankapp,Organic,2021-07-02,organic,0.0,0,0,256
com.ankapp,Twitter,2021-07-02,p:TW_nom:Descargas Shoppers_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,0.0,0,0,3
com.ankapp,Twitter,2021-07-02,p:TW_nom:Descargas Twitter_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,0.0,0,0,4
com.ankapp,Twitter,2021-07-02,p:TW_nom:Descargas Viajeros_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,0.0,0,0,1
com.ankapp,User_,2021-07-02,None,0.0,1,0,1
com.ankapp,User_invite,2021-07-02,ankbassadors,0.0,2,0,0
com.ankapp,User_invite,2021-07-02,ankbassadors,0.0,1599,0,264
com.ankapp,User_invite,2021-07-02,ankbassadors⁡_click_lookback=7d⁡_web_dp=https://ank.app/⁡_adset=80929b97-af77-4d4c-93f3-53587d61741a,0.0,4,0,1
com.ankapp,googleadwords_int,2021-07-02,p:G_nom:Eventos Android 4_os:Android_ef:Acq_obj:Apps Auto_ev:Bank Account Added_tipo:AlwaysOn,0.0,0,0,15
com.ankapp,googleadwords_int,2021-07-02,p:G_nom:Eventos Android 4_os:Android_ef:Acq_obj:Apps Auto_ev:OBC_tipo:AlwaysOn,81035.4851,3603,458516,218
com.ankapp,googleadwords_int,2021-07-02,p:G_nom:RMKT OB Incompleto_os:Android_ef:RT_obj:Apps Auto_ev:Purchase_tipo:Experimento_expid:15,6993.8804,763,91857,8
com.ankapp,jampp_int,2021-07-02,RTGT - AR -Android,17976.5849,0,0,0
com.ankapp,jampp_int,2021-07-02,RTGT OC - AR -Android,0.0,0,0,1
com.ankapp,jampp_int,2021-07-02,UA - AR - Android,0.0,92,2,0
com.ankapp,Facebook Ads,2021-07-03,p:FB_nom:Descargas_os:Android_ef:Acq_obj:Apps Auto_ev:Installs_tipo:AlwaysOn_expid:06,175412.14,2371,1354084,264
com.ankapp,Facebook Ads,2021-07-03,p:FB_nom:Eventos Audiencia Amplia_os:Android_ef:Acq_obj:Apps Manual_ev:OBC_tipo:AlwaysOn_expid:05,105229.8404,1836,647758,97
com.ankapp,Facebook Ads,2021-07-03,p:FB_nom:Eventos Audiencia High Intent_os:Android_ef:Acq_obj:Apps Manual_ev:OBC_tipo:AlwaysOn_expid:05,93644.6797,883,374451,44
com.ankapp,Facebook Ads,2021-07-03,p:FB_nom:RMKT OB Sin transacciones_os:Mix_ef:RT_obj:Conversiones_ev:Purchase_tipo:AlwaysOn_expid:na,24864.6999,417,133412,18
com.ankapp,Landing Pages,2021-07-03,Footer Landings,0.0,18,0,5
com.ankapp,Organic,2021-07-03,organic,0.0,0,0,226
com.ankapp,Twitter,2021-07-03,p:TW_nom:Descargas Shoppers_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,0.0,0,0,1
com.ankapp,Twitter,2021-07-03,p:TW_nom:Descargas Twitter_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,0.0,0,0,4
com.ankapp,Twitter,2021-07-03,p:TW_nom:Descargas Viajeros_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,0.0,0,0,1
com.ankapp,User_,2021-07-03,None,0.0,3,0,0
com.ankapp,User_invite,2021-07-03,ankbassadors,0.0,2,0,0
com.ankapp,User_invite,2021-07-03,ankbasadors,0.0,1,0,0
com.ankapp,User_invite,2021-07-03,ankbassadors,0.0,1109,0,203
com.ankapp,googleadwords_int,2021-07-03,p:G_nom:Eventos Android 4_os:Android_ef:Acq_obj:Apps Auto_ev:Bank Account Added_tipo:AlwaysOn,0.0,0,0,1
com.ankapp,googleadwords_int,2021-07-03,p:G_nom:Eventos Android 4_os:Android_ef:Acq_obj:Apps Auto_ev:OBC_tipo:AlwaysOn,63750.8386,3313,337010,266
com.ankapp,googleadwords_int,2021-07-03,p:G_nom:RMKT OB Incompleto_os:Android_ef:RT_obj:Apps Auto_ev:Purchase_tipo:Experimento_expid:15,6387.127,748,94169,10
com.ankapp,jampp_int,2021-07-03,RTGT - AR -Android,18394.3936,0,0,0
com.ankapp,jampp_int,2021-07-03,RTGT OC - AR -Android,0.0,0,0,1
com.ankapp,jampp_int,2021-07-03,UA - AR - Android,0.0,104,1,0
com.ankapp,Facebook Ads,2021-07-04,p:FB_nom:Descargas_os:Android_ef:Acq_obj:Apps Auto_ev:Installs_tipo:AlwaysOn_expid:06,165310.42,2624,1413742,235
com.ankapp,Facebook Ads,2021-07-04,p:FB_nom:Eventos Audiencia Amplia_os:Android_ef:Acq_obj:Apps Manual_ev:OBC_tipo:AlwaysOn_expid:05,99901.979,1855,615959,99
com.ankapp,Facebook Ads,2021-07-04,p:FB_nom:Eventos Audiencia High Intent_os:Android_ef:Acq_obj:Apps Manual_ev:OBC_tipo:AlwaysOn_expid:05,90507.3907,942,396913,52
